original_id,x_model,y_model,z_model,x_m,y_m,z_m,observation_count
2,0.0928756346261504,-0.0143802844112914,-0.233777315881348,0.192431792031741,-0.0297949393329019,-0.484370179676294,62
3,0.00999204003146482,-0.00816769514785518,-0.0651783277536611,0.0207028051764858,-0.0169228907064522,-0.135044917450693,64
4,-0.0638819203572377,0.0237751617297898,-0.0727395188054178,-0.132358852375594,0.0492604653085163,-0.150711174266495,71
5,0.0856830381887212,0.0128219911848165,-0.282633171745389,0.177529237369403,0.0265662652109052,-0.585596081744205,908
6,0.011750979279786,0.0258965950349776,-0.0732915892361011,0.024347203763821,0.0536559261227153,-0.151855025425432,172
7,0.0474580177391201,0.0216156057293838,-0.292950633056791,0.0983296796471276,0.0447860169472879,-0.606973136957481,49
9,0.0260023861544352,0.0101671787827449,-0.0978160697406436,0.0538751178922276,0.0210656803686574,-0.202668026608498,123
10,0.028071720093503,0.0105028501455832,-0.086848913174692,0.0581626324789091,0.0217611678573267,-0.179944848457697,25
11,0.0155440599602606,-0.00526379552443435,-0.0563621047587477,0.0322062005351787,-0.010906214635656,-0.116778322593047,215
13,0.0771877275409653,-0.0230628024886666,-0.296002248233854,0.159927550356502,-0.0477845069918761,-0.613295869280951,190
14,0.0865804236548374,-0.0058840161591573,-0.284826559647021,0.179388557029323,-0.0121912682309851,-0.590140627428665,802
16,0.0828771579532298,0.0266292994039077,-0.265095604495013,0.171715650586222,0.0551740381152767,-0.549259474113458,115
17,0.0794879909545194,-0.0192940152422875,-0.290364469835106,0.164693534595501,-0.039975844509769,-0.601614788395571,169
19,0.0868028025776917,0.0277927039683279,-0.281604758079947,0.179849310539188,0.0575845306636232,-0.583465280857757,747
20,0.035836109067181,0.0330313979907838,-0.0526844472900927,0.0742499011177782,0.0684387367501281,-0.109158474610087,247
21,0.0250292452315958,0.0285803657816949,-0.104445087679084,0.0518588382464928,0.0592165106212439,-0.216402886202615,72
22,0.0875916265705054,-0.0376416013406784,-0.276410087507921,0.181483698450999,-0.0779907543037305,-0.572702288268652,34
23,0.0895023289472855,-0.0471952366890719,-0.274160256432193,0.185442539581755,-0.0977852157672704,-0.568040796291627,217
24,0.0148419847555069,0.00208500721010221,-0.114364970310915,0.0307515500196196,0.00431998850348744,-0.236956186314874,47
25,0.0821194374758985,-0.00758374502483745,-0.23909420791221,0.170145706974004,-0.0157129870639976,-0.495386406544152,47
26,0.0895169393351123,-0.0277032727449643,-0.271046950444025,0.185472811279204,-0.0573992354498169,-0.561590244940265,38
27,-0.0736925493427883,-0.0762037429300909,-0.0443454332962034,-0.152685786605947,-0.157888803350741,-0.0918806232868502,177
29,-0.0419517070458152,-0.00153122239323214,-0.0735862934601293,-0.0869209906140854,-0.00317258525677764,-0.152465631879723,90
30,-0.0655672717295737,0.0103600474020307,-0.0775847803587122,-0.135850782052168,0.0214652906021192,-0.160750215908752,55
31,-0.0324541377838432,0.0611893701504399,-0.0782001778705777,-0.0672426941439339,0.126780077452384,-0.162025276332262,90
32,0.0826898806193785,-0.0217854524117516,-0.265178538468,0.171327625103489,-0.04513792734435,-0.549431307480805,55
33,-0.0655114637411763,-0.104107745578062,-0.0803754408613983,-0.135735151819759,-0.21570393706177,-0.166532268474483,410
34,-0.0569424140112851,-0.0959930232834913,-0.0896798586285013,-0.117980682607575,-0.198890802386892,-0.185810368612832,199
35,0.0545778637898769,-0.0867616961912581,-0.171146656296244,0.113081500617743,-0.179764140993513,-0.354603851741042,372
36,0.0452635011001566,-0.0744990427455014,-0.150184414201954,0.0937827952981909,-0.154356784294098,-0.311171558358128,402
37,0.0850733456208273,-0.0711000898803014,-0.277353877455523,0.176265997189128,-0.147314392675299,-0.574657754755097,534
38,0.0847007842232082,-0.0506812473261575,-0.276642843894458,0.175494076139282,-0.105007984975108,-0.573184543154431,719
39,-0.105970951396509,-0.0726996283443275,0.0670923032058655,-0.219564368659476,-0.150628524032734,0.139010540163851,251
40,-0.00605104946510131,-0.0803754597429941,-0.0751179306894632,-0.0125373495096883,-0.166532307595824,-0.155639076647768,319
41,0.0806406046639163,-0.0405279539493211,-0.267343409657713,0.167081669250111,-0.083971074192282,-0.553916768540977,638
42,0.080339792320398,-0.0198733268229848,-0.26921292649571,0.166458407201227,-0.0411761374183135,-0.55779027612795,825
43,-0.0858761100654307,-0.0678542034609374,0.291986806410328,-0.177929268737971,-0.14058914398199,0.604976155838231,605
44,-0.00287435888765086,-0.0676777462576512,-0.06858317666347,-0.00595546974100869,-0.14022353704986,-0.142099525259826,434
45,0.0195780497094835,-0.0650121094194691,-0.106508120136893,0.0405643439772701,-0.134700524736222,-0.220677344562699,352
46,0.0270487403396397,-0.0579454740832643,-0.0944960955526893,0.0560430902756122,-0.120058952629022,-0.195789273262061,423
47,0.0788276900701616,0.0101107741922884,-0.2707416491393,0.163325437537876,0.0209488140186827,-0.560957682079032,899
48,0.00974849084865935,-0.0283723073092955,-0.074381261868425,0.0201981883748481,-0.0587854280789565,-0.154112750588873,498
49,0.0105282472140889,-0.0470527854479447,-0.0712817246245291,0.021813788799564,-0.0974900668004009,-0.147690727108626,300
50,0.0275328124001326,-0.0180690667590131,-0.0931807866580299,0.057046053587229,-0.037437837283957,-0.193064045610121,411
52,0.0137651372890613,-0.0294339966128927,-0.0659031304716213,0.0285203976991312,-0.0609851737506229,-0.136546657777399,114
53,0.0291133254505814,0.0171077336281068,-0.0785078414837368,0.0603207656239398,0.0354460225538135,-0.162662733730658,351
54,-0.0183117075880651,-0.00448929170737551,-0.0956480428955161,-0.0379405720404137,-0.00930149712226319,-0.198176027251938,111
55,-0.0667886206920534,-0.0363963594756731,-0.0711955892193404,-0.138381331323698,-0.0754107006162324,-0.147512260598604,211
56,-0.0537116480539263,-0.00980393544909778,-0.0867197489678282,-0.111286762449589,-0.0203130656929283,-0.179677229292636,341
57,-0.0524479238877114,-0.0338877569224829,-0.0842660626009374,-0.108668414732048,-0.0702130523121435,-0.174593363469643,418
58,-0.00838674045413437,-0.0213482249792015,-0.0678592787495379,-0.0173767371969027,-0.0442320228118026,-0.140599659623519,206
59,0.0824003982646882,-0.0214922435497218,-0.279110860463721,0.170727837995721,-0.0445304191750967,-0.578298100150288,510
60,0.0888975505906303,-0.0293948611201404,-0.273238667576337,0.184189481302029,-0.0609040877582344,-0.566131328908036,308
61,-0.00577640226139998,0.00167567269669475,-0.0746570797864007,-0.0119682997928547,0.00347187614040636,-0.154684225943461,412
62,-0.0546261106309379,0.0161005577414744,-0.0854699964076889,-0.113181464683912,0.0333592248534696,-0.177087829761619,189
63,-0.0750174846124741,0.0125751781995174,-0.0370565721579725,-0.155430959430854,0.0260548860397265,-0.0767786149253874,381
64,-0.0651326185421328,0.036979760737555,-0.0724056591396848,-0.134950211174691,0.0766194670569617,-0.150019440486988,324
65,0.0281084380524677,0.0134423774131593,-0.0885980112496358,0.0582387095110797,0.0278516619045844,-0.183568856824967,283
66,0.0829198006957358,0.0120676609356681,-0.263828872646507,0.171804003353777,0.0250033459133769,-0.546634894689449,65
67,0.0340082485914898,0.0119194982094241,-0.108314432220467,0.0704627025878614,0.024696363150479,-0.224419896337553,462
68,-0.0322183402329482,0.0381768060770439,-0.0772051626861685,-0.0667541381791961,0.0790996609285654,-0.159963674752844,404
69,0.0513985985613149,0.0235358900918689,-0.186242761477171,0.106494286352785,0.0487647112794557,-0.385881921434551,595
70,0.0745342047733589,0.0194900631497739,-0.246841131412448,0.154429637546292,0.0403820420050922,-0.511437487948703,342
71,0.0723663916006126,0.0226263697999607,-0.273419200698128,0.149938080903898,0.0468802491127567,-0.566505380857045,240
72,0.0347772839590717,0.0184325310976589,-0.289236264130464,0.0720560898580026,0.0381909098665216,-0.599277225412573,77
73,0.0433325245072429,0.0250981754473881,-0.21064357321966,0.0897819474155202,0.052001656812454,-0.436438689628242,100
74,0.0821442550860328,-0.0716774914419209,-0.266298882951064,0.170197127319193,-0.14851072815846,-0.55175258256481,614
75,0.0874871587250231,-0.0377725527062371,-0.274728820373187,0.181267248412226,-0.0782620763360903,-0.569218820845541,36
76,0.0740853497198673,-0.0272370087838498,-0.250409868364383,0.153499641399793,-0.0564331692694001,-0.518831660270809,643
77,0.0823153808882897,-0.0858878683440315,-0.265660399845304,0.170551687962829,-0.177953631065415,-0.550429690412116,237
78,-0.090685781784399,-0.0435860451231996,0.283310848582787,-0.187894570743077,-0.0903072243263259,0.587000180556168,631
79,0.0890194174942037,-0.00899814511749457,-0.273980034136567,0.184441980967182,-0.0186435247187383,-0.567667388352601,168
80,0.0762266782432103,-0.0104693743510576,-0.248617385928566,0.157936323708714,-0.0216918083621678,-0.515117762554813,262
81,-0.0499231594575287,0.000617091416124346,-0.0499783681634529,-0.103437280153924,0.00127857007416645,-0.103551668715138,159
82,0.0890451559900692,-0.0805177404847361,-0.274114466817123,0.184495309322929,-0.166827103299942,-0.567945923425132,192
83,0.0463831509231851,-0.076947580299239,-0.149466999128121,0.0961026310953906,-0.159429982137852,-0.309685124711197,70
84,0.088688875235533,-0.0621776592071933,-0.272412739118854,0.183757120622116,-0.128827742967693,-0.56442006315138,168
86,0.0817623127133524,-0.001241581802983,-0.267181043010095,0.169405769547872,-0.00257247029604412,-0.553580356250572,523
87,-0.0895709350308399,0.0208667344259921,0.285706286059532,-0.185584686568484,0.043234408201971,0.591963358769761,565
88,-0.0882070263660179,0.0449536632793724,0.281595553248897,-0.182758763606065,0.0931408330942963,0.583446209094301,517
89,0.0837005173009073,0.0223866909419877,-0.264568063494102,0.173421593327797,0.0463836513523482,-0.54816644621024,150
90,0.00926885384238341,-0.0703744570369175,-0.0972495142004724,0.0192044141840828,-0.145810932387016,-0.201494163320032,116
91,0.0344586163865796,-0.0133089223436375,-0.110632422018672,0.0713958330287072,-0.0275751523734552,-0.229222608400574,438
92,-0.0104907364017027,-0.0969691341555179,-0.0654633676847137,-0.0217360690307882,-0.200913235558755,-0.135635500168688,144
93,0.086463553951594,-0.0842458547627782,-0.274061660738296,0.179146411212286,-0.17455149424823,-0.567836512938522,409
94,-0.0694784347891002,-0.0642386135494175,-0.0763487988122361,-0.143954437219669,-0.133097895618237,-0.158189348950868,334
95,-0.0383015565988349,-0.0101012221475572,-0.0541047075033394,-0.0793581352481409,-0.0209290228528661,-0.112101154023117,120
96,0.0731156416003631,0.00654705932074275,-0.250299879530606,0.151490474281474,0.0135650470944283,-0.518603771132044,561
97,0.107055580332659,0.0235698129045388,-0.0845125292981508,0.221811643638677,0.0488349969648144,-0.175104025156229,183
98,-0.00679568450754434,0.0326037360153047,-0.0663837537359998,-0.0140801810198441,0.067552651172823,-0.137542475425686,377
99,0.0441107080612713,0.0279010526101581,-0.179239462061833,0.0913942890854758,0.0578090214398696,-0.371371576907128,218
100,0.0278462896780648,-0.053220362998318,-0.0785831752358513,0.057695556490725,-0.110268854318682,-0.16281881997414,58
101,-0.0487206023059298,-0.0418007593420469,-0.0777012406749529,-0.100945666194738,-0.0866082375733538,-0.160991513504671,120
102,-0.0872971301228165,-0.00541022568367003,0.286851514291921,-0.180873522494691,-0.0112096076413958,0.594336191234712,776
103,0.0222633766372561,-0.0431585962869529,-0.0983536791243143,0.0461281527736504,-0.089421580358541,-0.203781915493665,124
104,0.0340693352519167,-0.0359654865371081,-0.112457196610472,0.0705892698579802,-0.0745179621489284,-0.233003413195799,555
105,0.024364119416033,-0.0340291707258074,-0.0994659008470344,0.0504807442702791,-0.070506051780748,-0.206086360788722,331
106,-0.0874611743250951,0.0139764012707982,0.276669258228491,-0.181213410560532,0.0289581218316341,0.573239271799394,840
107,0.0841787938777412,-0.0102019044875453,-0.263780288684745,0.174412548804306,-0.0211376295901212,-0.546534232132863,34
108,0.0576028441465052,-0.0740454020445964,-0.189514279983135,0.119349047463909,-0.153416872622268,-0.392660278011081,418
109,0.0396089198144132,-0.00121609619213391,-0.0396629642080989,0.0820669000110713,-0.00251966590029001,-0.0821788761991003,219
111,0.0264544147303601,-0.0789082254012418,-0.0918375004656479,0.0548116893543223,-0.163492301087654,-0.190280850962224,202
112,-0.0852716859045795,0.0446641626924875,0.293866705903319,-0.176676944327074,0.0925410082107006,0.608871175557148,86
113,-0.0663018024108052,0.0108511193148634,-0.0766858777086395,-0.137372678035551,0.0224827571161647,-0.15888775275023,291
114,0.00981078343910934,-0.0587609048670348,-0.0737660810497083,0.0203272542472789,-0.121748467943027,-0.152838139138349,65
115,0.0754974234602295,-0.0658447583161097,-0.248013524360436,0.156425359015965,-0.136425714770818,-0.513866603796522,400
116,0.0113387950944674,-0.0444383119957067,-0.0586558296808612,0.0234931870806804,-0.0920730614290921,-0.121530759536998,443
117,0.0745086954652844,-0.0474404831233454,-0.249634794068179,0.154376784051551,-0.0982933491547472,-0.517225760764693,265
118,0.0969224848540585,-0.0112232594705709,-0.263652390294265,0.200816581482441,-0.0232538053823545,-0.546269235650449,108
119,-0.086243588217444,-0.0287547993833484,0.290390996071448,-0.178690657659931,-0.0595779247929139,0.601669748894261,514
120,-0.0677652381610023,-0.0171386093908788,-0.0744425877989531,-0.140404814128805,-0.0355099949657867,-0.154239813609837,323
121,-3.32749484756757e-05,0.00318003262916967,-0.050246956633375,-6.89433562495975e-05,0.00658880426512025,-0.104108165161103,45
122,0.0243340237837333,-0.00192384029290337,-0.098968298416206,0.0504183882338538,-0.00398606197025143,-0.205055363500045,247
123,-0.0630308364129777,0.0113384099951312,-0.0686723818482152,-0.130595466217075,0.0234923891819025,-0.14228435213749,29
