time_s,tx_model,ty_model,tz_model,tx_m,ty_m,tz_m,R11,R21,R31,R12,R22,R32,R13,R23,R33,angle_rad,rate_deg_s
60,0.0545538422820208,0.0536164531331669,1.00003882147514,0.113031729740562,0.111089525259579,2.07201020259396,0.999999993305135,2.05429761761918e-06,-0.000115695760771484,-2.05519820888471e-06,0.999999999967593,-7.78401531993828e-06,0.00011569574477705,7.78425304554528e-06,0.99999999327695,-0.000115975523298108,5.91084924365092
60.1,0.0545398493613527,0.0536196118784779,1.00004189277461,0.1130027373917,0.111096069958016,2.07201656611075,0.999948210722124,-0.000184201554403434,0.0101755561720416,0.000177234875611159,0.999999749307233,0.000685545965504243,-0.0101756798997357,-0.000683706998141314,0.999947992689279,0.0102004011455393,5.91085194317519
60.2,0.0545258632034875,0.0536227891770356,1.00004496234366,0.11297375905489,0.111102653097477,2.07202292604223,0.999790486007157,-0.000377564176773656,0.0204656183601733,0.000349380414603582,0.999998985820138,0.00138068534458593,-0.0204661189016808,-0.00137324578545873,0.999789603953309,0.0205167976299961,5.91087195067819
60.3,0.0545118873156266,0.0536259859090051,1.00004802950068,0.112944801996807,0.111109276501603,2.07202928097617,0.99952683440893,-0.000578013628661179,0.0307534257719167,0.000514363529186391,0.999997709580123,0.00207756219349518,-0.0307545561929212,-0.0020607607219373,0.999524842381931,0.0308332441381932,5.91090926615991
60.4,0.0544979252049718,0.0536292029545516,1.00005109356409,0.112915873484128,0.111115941994033,2.07203562950035,0.999157281209621,-0.000785529297481449,0.0410379135619967,0.000672167007726597,0.999995920709568,0.00277610441740127,-0.0410399268677814,-0.00274618061048236,0.999153733363761,0.0411497708782537,5.91096388962036
60.5,0.0544839803787248,0.05363244119384,1.00005415385227,0.112886980783528,0.111122651398408,2.07204197020253,0.998681861723423,-0.00100008990049677,0.0513180171560548,0.000822774317941609,0.999993619379417,0.00347623976078311,-0.0513211662675348,-0.00342943444953217,0.998676312361666,0.0514664080582983,5.91103582105954
60.6,0.0544700563440872,0.0536357015070356,1.00005720968363,0.112858131161683,0.111129406538368,2.07204830167048,0.998100621294521,-0.00122167348645278,0.0615926723351345,0.000966169608263768,0.999990805809165,0.0041778958131496,-0.0615972100648951,-0.00411045143870644,0.99809262491073,0.0617831858864486,5.91112506047745
60.7,0.0544561566082606,0.0536389847743035,1.00006026037655,0.112829331885267,0.111136209237554,2.07205462249197,0.997413615294522,-0.00145025743725168,0.0718608153201575,0.00110233770916781,0.999987480266843,0.00488100001476914,-0.0718669943484979,-0.00478916098444455,0.997402726615673,0.0721001345708262,5.91123160787409
60.8,0.0544422846784467,0.0536422918758087,1.00006330524945,0.112800590220957,0.111143061319606,2.07206093125477,0.996620909119331,-0.0016858184696623,0.0821213828563912,0.00123126413446116,0.999983643069011,0.00558547966240833,-0.082129455707376,-0.0054654927056335,0.996606683147717,0.082417284319552,5.91135546324944
60.9,0.0544284440618472,0.0536456236917164,1.00006634362072,0.112771913435428,0.111149964608164,2.07206722654664,0.995722578185487,-0.00192833263706706,0.092373312297912,0.00135293508253733,0.999979294580732,0.00629126191508017,-0.0923835313154309,-0.00613937643922577,0.995704570240907,0.0927346653407488,5.91149662660354
