time_s,original_id,point_row,u_px,v_px,normal_u,normal_v,normal_residual_px
60.1,2,1,399.116269707201,230.60454355572,0.999973950376615,0.00721793378933459,0.521550910222637
60.2,2,1,399.971530994498,230.609302270174,0.999926799490755,0.0120994074307534,-0.00182423691979078
60.3,2,1,400.841465067146,231.101565920452,0.999899248140025,0.0141948430429023,-0.449326763202689
60.4,2,1,401.605634539982,232.232715142582,0.999837371710045,0.0180341379596985,-1.00145814095689
60.5,2,1,402.681921934336,233.648384674617,0.999818615961292,0.0190456078203493,-1.1794981046146
60.6,2,1,404.022965342644,235.228813943601,0.999818615961292,0.0190456078203493,-1.06289866210832
60.7,2,1,405.36725007329,237.052869251217,0.999818615961292,0.0190456078203493,-0.925210512194907
60.8,2,1,406.893077287061,238.992836550135,0.999891705302828,0.0147165779515215,-0.559815001106592
60.9,2,1,408.336911878059,240.778479269417,0.99986290773487,-0.0165579508385491,-0.136993537257169
61,2,1,409.776329759516,242.602178639991,0.999997811901778,-0.00209193490702121,0.0217468263926129
61.1,2,1,411.270483802953,244.35913742022,0.999891282145869,0.0147453005628752,0.29541531473726
61.2,2,1,412.200169532196,246.16949101598,0.999976768479195,0.00681634080028724,0.0800126067536003
61.4,2,1,415.408560031704,249.611021005608,0.999815477119515,0.01920967756824,1.05113273578964
61.5,2,1,416.773929917259,251.383528627559,0.999886374086453,0.0150744458022653,1.30039579976529
61.6,2,1,418.030250268625,253.829622289494,0.999915934681145,0.0129662473650705,1.46333905402832
61.7,2,1,419.844948054125,256.575122696948,0.999855698865633,0.0169876851252981,2.25454193797704
61.8,2,1,421.070375693831,259.46901475985,0.99997112792497,-0.00759890231969737,2.12453809867987
61.9,2,1,422.191181748604,262.770719320984,0.997634995943934,-0.0687343790831549,1.15035979598145
62,2,1,423.451112171562,265.965157542542,0.992930411506163,-0.118697927135238,0.154615395265851
62.1,2,1,424.887250382104,269.335577124296,0.889934971343276,-0.456087433262792,-7.83399510421511
62.2,2,1,426.172555099889,271.980572589539,0.997231439289984,-0.074360315300754,1.24130972557227
60.1,3,2,341.62595083368,237.023759839257,0.997289552036775,0.0735768265032419,0.219671427828576
60.3,3,2,342.60921884459,237.053130995171,0.998465269430186,0.0553814566592963,0.704772612014751
60.4,3,2,343.066566073703,237.3951157742,0.997775906809206,0.0666576311540294,0.782872429378823
60.5,3,2,343.250748037189,237.976404525175,0.999805669106787,-0.0197135491966998,1.26100127556364
60.6,3,2,343.63379718577,237.947255926762,0.999812119961531,-0.019383621385855,1.32925446443934
60.7,3,2,344.063731009656,238.676971572579,0.999812119961531,-0.019383621385855,1.43285099388119
