time_s,angle_rad,tx_model,ty_model,tz_model,ax,ay,az,omega_rad_s
66.025,0.621573881922296,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.075,0.626732171398829,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.125,0.631890460875362,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.175,0.637048750351897,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.225,0.642207039828431,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.275,0.647365329304964,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.325,0.652523618781497,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.375,0.65768190825803,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.425,0.662840197734565,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.475,0.667998487211098,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.525,0.673156776687632,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.575,0.678315066164165,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.625,0.683473355640698,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.675,0.688631645117233,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.725,0.693789934593766,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.775,0.6989482240703,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.825,0.704106513546833,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.875,0.709264803023366,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.925,0.714423092499901,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
66.975,0.719581381976434,0.104507354530781,0.0282212255496917,1,-0.0701286455267214,-0.991523208292141,-0.109378702198587,0.103165789530671
67.025,0.724728537032471,0.104802062985835,0.0283474486484645,0.999999065879022,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.075,0.729886318494049,0.1048019095641,0.0283473174719421,0.999999091432174,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.125,0.735044107534963,0.104801758943635,0.0283471802630409,0.99999911666437,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.175,0.740201904084839,0.104801611108703,0.0283470372657633,0.999999141573782,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.225,0.745359708073297,0.104801466043565,0.0283468887241117,0.999999166158585,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.275,0.75051751942996,0.104801323732485,0.0283467348820888,0.99999919041695,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.325,0.755675338084454,0.104801184159726,0.0283465759836969,0.99999921434705,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.375,0.760833163966399,0.104801047309551,0.0283464122729386,0.999999237947058,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.425,0.765990997005422,0.104800913166221,0.0283462439938164,0.999999261215147,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.475,0.771148837131142,0.104800781714001,0.0283460713903327,0.99999928414949,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.525,0.776306684273183,0.104800652937152,0.0283458947064901,0.999999306748259,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.575,0.781464538361169,0.104800526819938,0.0283457141862911,0.999999329009627,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.625,0.786622399324724,0.104800403346621,0.0283455300737381,0.999999350931767,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.675,0.79178026709347,0.104800282501465,0.0283453426128337,0.999999372512851,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.725,0.79693814159703,0.104800164268731,0.0283451520475803,0.999999393751053,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.775,0.802096022765026,0.104800048632684,0.0283449586219805,0.999999414644545,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.825,0.807253910527083,0.104799935577584,0.0283447625800367,0.9999994351915,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.875,0.812411804812823,0.104799825087696,0.0283445641657514,0.999999455390091,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
67.925,0.817569705551871,0.104799717147283,0.0283443636231272,0.99999947523849,-0.0714259714554141,-0.99140980510266,-0.109567006657826,0.103162710180333
