time_s,original_id,point_row,u_px,v_px,normal_u,normal_v,normal_residual_px
60.025179,1,1,215.350820902627,259.355700964036,-0.96435680917877,0.26460526183457,0.0200398312827723
60.075179,1,1,215.154137691981,259.410585798135,-0.964343837799938,0.264652531628335,-0.101227938138972
60.125179,1,1,214.572636772016,259.490554637127,-0.96444685673734,0.264276863401744,0.157586563247659
60.175179,1,1,214.477134664938,259.759851669017,-0.964440468080847,0.264300176935237,0.000870346058291699
60.225179,1,1,214.033684122313,259.596236419219,-0.964343837799938,0.264652531628335,0.0682835414490278
60.275179,1,1,213.956951690506,259.91932986337,-0.964842408411502,0.262829083114278,-0.0882770630560634
60.325179,1,1,213.453038770845,259.95139341754,-0.976110063187635,0.217276654392114,0.0646428194741519
60.375179,1,1,213.278820760494,259.953457233946,-0.964842408411502,0.262829083114278,-0.0452447636973062
60.425179,1,1,213.015471822289,260.151751128143,-0.964842408411502,0.262829083114278,-0.044885461882967
60.475179,1,1,212.485143413277,260.032210999159,-0.975213646269126,0.221265325187831,0.123666620946038
60.525179,1,1,212.25425271528,259.776808239284,-0.836395322050336,0.548126687228705,-0.0717835814025506
60.575179,1,1,211.954959308643,259.862194603802,-0.932380776314294,0.361477645172637,-0.0272014425828873
60.625179,1,1,211.723322448029,259.906973607578,-0.955599009577394,0.294670210395797,-0.0698569393276266
60.675179,1,1,211.414920881495,259.987696421503,-0.969689106123699,0.244342050136734,-0.0201900054087803
60.725179,1,1,211.186045853173,260.026147392917,-0.970719308696574,0.240216618333632,-0.0727764467429896
60.775179,1,1,210.829852788661,260.099963568236,-0.918480107354282,0.395467182449399,-0.109210759801889
60.825179,1,1,210.426110507948,260.098386740128,-0.936471422765586,0.350743887107671,0.0128178305647594
60.875179,1,1,210.042470834421,260.244601703408,-0.93141634860138,0.363955471944128,0.122636776638301
60.925179,1,1,209.749759832231,260.454497847189,-0.872711786360951,0.488235740136543,0.052732799827524
60.975179,1,1,209.544944925532,260.783858128574,-0.809237228574289,0.587482006438839,0.00671050220339564
60.025179,2,2,215.307093117673,254.936645874136,-0.994246844392003,0.10711308237813,0.0790959573824965
60.075179,2,2,215.04998655547,254.856685147387,-0.994846434751777,0.101393151946657,-0.0692512575957637
60.125179,2,2,214.636747064059,255.118340924647,-0.992440599003497,0.122725944484368,0.00452502986543421
60.175179,2,2,214.191599183547,254.945808843616,-0.994840448119608,0.101451874231956,0.022914631812301
60.225179,2,2,213.967750267661,255.045654287788,-0.992391573114184,0.123121751173197,-0.111732920363588
60.275179,2,2,213.391620044335,254.989547995664,-0.995687547395765,0.0927701889671809,0.0585051033377271
60.325179,2,2,213.099610365282,254.807714977634,-0.9960790129683,0.0884680729082372,-0.0435705099697336
60.375179,2,2,212.715128144483,254.930914045717,-0.994648489668773,0.103316900842164,-0.0220776221329887
60.425179,2,2,212.324028514449,255.042532200756,-0.996169063710774,0.0874482504433344,0.0071419493419139
60.475179,2,2,211.967392302031,255.178453336865,-0.99629327310887,0.0860215900690911,0.00703667946978981
60.525179,2,2,211.647799853301,255.093166182339,-0.995042289368448,0.0994527142334364,-0.0510528054215803
60.575179,2,2,211.208525861327,254.963565113624,-0.999994866911979,0.00320408328453254,0.0712708059052769
60.625179,2,2,210.84997718158,255.009920489114,-0.999996893061108,0.002492763151692,0.0839823415943615
