time_s,tx_model,ty_model,tz_model,tx_m,ty_m,tz_m,R11,R21,R31,R12,R22,R32,R13,R23,R33,angle_rad,rate_deg_s
60.65,0.10914716143333,0.0259141623481574,1.00000261462046,0.209286759959383,0.0496897125283474,1.91747824145354,0.99772385755692,-0.00684394889035641,0.0670840102060534,0.00766092877385605,0.999899502153116,-0.0119287788257402,-0.0669956284548596,0.012415553050014,0.997676019462431,0.0685745091279038,6.04488706304342
60.7,0.109147691173853,0.0259147632366282,1.000002538529,0.209287775722654,0.0496908647159032,1.91747809555022,0.997360363988781,-0.00733563771742249,0.0722391359544481,0.00828308699832454,0.999883452928663,-0.0128246258905113,-0.0721366398853224,0.0133891365939747,0.997304886284692,0.0738496783051601,6.04491082990007
60.75,0.109148219186389,0.0259153654737536,1.00000246175858,0.209288788172556,0.049692019489468,1.91747794834498,0.996969993034012,-0.00782228790830263,0.0773927955409369,0.00890985373512564,0.999866216994876,-0.0137172380155392,-0.0772751415151102,0.0143652331772202,0.996906310833462,0.0791248688250265,6.04493597670457
60.8,0.109148745338971,0.0259159690728963,1.00000238427584,0.209289797056044,0.0496931768746647,1.9174777997739,0.996552755131235,-0.00830388596880342,0.0825448467086953,0.0095412117433129,0.999847794812646,-0.0146065905247865,-0.082410991492726,0.0153438158913168,0.996480303766752,0.0844000818917355,6.0449625034569
60.85,0.10914926949963,0.0259165740474192,1.00000230604744,0.209290802120077,0.049694336897116,1.91747764977303,0.996108661442423,-0.00878041854041738,0.0876951472411039,0.0101771436579914,0.999828186874805,-0.0154926588294134,-0.0875440480349658,0.0163248577603326,0.99602687648113,0.0896753187095194,6.04499041015707
60.9,0.109149791536401,0.0259171804106851,1.00000222704003,0.209291803111609,0.0496954995824447,1.91747749827845,0.99563772385264,-0.00925187240067115,0.0928435549654111,0.0108176319907608,0.999807393706111,-0.0163754184284135,-0.0926741694305705,0.01730833174153,0.995546041111449,0.0949505804826086,6.04501969680509
60.95,0.109150311317316,0.0259177881760567,1.00000214722028,0.209292799777597,0.0496966649562737,1.9174773452262,0.995139954969756,-0.00971823446347122,0.0979899277564014,0.0114626591301621,0.999785415863236,-0.0172548449092488,-0.0978012140438833,0.0182942107260608,0.995037810530561,0.100225868415236,6.04505036340096
61,0.109150828710407,0.0259183973568969,1.00000206655483,0.209293791864998,0.0496978330442258,1.91747719055237,0.99461536812415,-0.0101794917794453,0.103134123540052,0.0121122073421265,0.999762253934751,-0.0181309139484806,-0.102925040318495,0.0192824675396609,0.994502198349012,0.105501183711632,6.04508223666614
61.05,0.109151343573303,0.0259190079547052,1.00000198502233,0.209294779100816,0.0496990038491762,1.91747703421599,0.994063977400769,-0.0106356315102788,0.108276000002494,0.0127662587328033,0.999737908542546,-0.0190036012624683,-0.10804550648745,0.0202730748864923,0.993939218947777,0.110776527273601,6.04511445020804
61.1,0.109151855722006,0.0259196199235283,1.00000190264938,0.209295761132245,0.049700177283011,1.91747687626805,0.993485797748218,-0.011086640853398,0.113415413710724,0.0134247951340903,0.999712380346641,-0.0198728824597685,-0.113162469698193,0.0212660051782143,0.993348887589635,0.116051898793234,6.04514613763402
61.15,0.109152364962117,0.0259202332055498,1.00000181947453,0.209296737586524,0.0497013532348683,1.91747671678252,0.992880844902731,-0.0115325071244551,0.118552221002658,0.0140877982134043,0.999685670041835,-0.020738733194343,-0.118275786899673,0.0222612307034479,0.992731220341554,0.121327297660195,6.04517712566557
61.2,0.109152871099234,0.0259208477429531,1.00000173553638,0.209297708090896,0.0497025315938867,1.91747655583335,0.992249135358446,-0.0119732177842894,0.123686278286263,0.0147552495113146,0.999657778356387,-0.0216011292165856,-0.123385315140319,0.0232587236851629,0.99208623404433,0.126602723264146,6.0452074143027
61.25,0.109153373938957,0.0259214634779216,1.00000165087349,0.209298672272601,0.0497037122492044,1.91747639349453,0.991590686366949,-0.012408760439294,0.128817442043701,0.015427130442071,0.999628706052002,-0.0224600463740256,-0.128490911572162,0.0242584562814756,0.991413946312132,0.131878174994751,6.04523700354539
61.3,0.109153873286882,0.025922080352639,1.00000156552444,0.20929962975888,0.0497048950899599,1.91747622984001,0.99090551593681,-0.0128391228417791,0.133945568835472,0.0161034222941362,0.999598453923807,-0.0233154606120281,-0.133592433454972,0.025260400586452,0.990714375532015,0.137153652241673,6.04526589339365
61.35,0.109154368948611,0.0259226983092886,1.0000014795278,0.209300580176974,0.0497060800052916,1.91747606494376,0.990193642833079,-0.0132642928903301,0.139070515304565,0.0167841062307222,0.99956702280033,-0.0241673479744923,-0.138689738160375,0.0262645286309102,0.989987540863421,0.142429154394575,6.04529408384748
61.4,0.109154860729741,0.025923317290054,1.00000139292215,0.209301523154125,0.0497072668843379,1.91747589887974,0.989455086576775,-0.0136842586301617,0.144192138180589,0.0174691632903293,0.999534413543477,-0.0250156846045451,-0.143782683175975,0.0272708123832258,0.989233462237644,0.147704680843121,6.04532157490688
61.45,0.109155348435871,0.0259239372371186,1.00000130574606,0.209302458317573,0.0497084556162371,1.91747573172193,0.988689867444345,-0.014099008253468,0.149310294283922,0.01815857438729,0.999500627048507,-0.0258604467452344,-0.148871126109477,0.0282792237501401,0.988452160357286,0.152980230976973,6.04534836657184
61.5,0.109155831872601,0.0259245580926659,1.00000121803812,0.20930338529456,0.0497096460901276,1.91747556354429,0.987898006467104,-0.0145085300997673,0.154424840529839,0.0188523203123157,0.99946566424401,-0.026701610740217,-0.153954924692795,0.0292897345775678,0.987643656695679,0.158255804185795,6.04537445884237
61.55,0.109156310845529,0.0259251797988795,1.00000112983688,0.209304303712326,0.0497108381951478,1.91747539442078,0.987079525430644,-0.014912812656244,0.159535633932653,0.0195503817330485,0.999429526091879,-0.027539153034445,-0.159033936786165,0.0303023166514091,0.986807973496289,0.16353139985925,6.04539985171849
61.6,0.109156785160253,0.0259258022979428,1.00000104118093,0.209305213198112,0.0497120318204361,1.91747522442538,0.986234446874237,-0.0153118445580846,0.16464253160984,0.0202527391946144,0.999392213587283,-0.0283730501748489,-0.164108020382256,0.0313169416983622,0.985945133772097,0.168807017387003,6.04542454520016
61.65,0.109157254622374,0.0259264255320393,1.00000095210885,0.20930611337916,0.0497132268551309,1.91747505363204,0.985362794090197,-0.0157056145888105,0.169745390786166,0.0209593731201823,0.999353727758643,-0.0292032788110171,-0.169177033610267,0.0323335813867372,0.985055161304958,0.174082656158714,6.04544853928741
61.7,0.109157719037489,0.0259270494433525,1.0000008626592,0.20930700388271,0.0497144231883706,1.91747488211474,0.984464591123233,-0.0160941116806058,0.174844068797821,0.0216702638115256,0.999314069667595,-0.0300298156958735,-0.174240834740034,0.0333522073272735,0.984138080644934,0.179358315564048,6.0454718339802
61.75,0.109158178211198,0.0259276739740659,1.00000077287057,0.209307884336003,0.0497156207092935,1.91747470994744,0.983539862769777,-0.0164773249146405,0.17993842309653,0.0223853914495873,0.99927324040897,-0.030852637686351,-0.179299282186118,0.0343727910739566,0.983193917109605,0.184633994992668,6.04549442927858
61.8,0.109158631949099,0.0259282990663629,1.00000068278152,0.209308754366281,0.0497168193070381,1.9174745372041,0.982588634577282,-0.0168552435213904,0.185028311253676,0.0231047360950496,0.999231241110757,-0.0316717217440626,-0.1843522345119,0.035395304124839,0.982222696783362,0.189909693834237,6.04551632518255
