original_id,x_model,y_model,z_model,x_m,y_m,z_m,observation_count
41,-0.328557057331947,0.0308414864888429,0.121227284220272,-0.629999361300793,0.0591377246537349,0.232450071994163,66
42,-0.337165249741125,0.0978324487228949,0.131643200544942,-0.646505339786769,0.187591101254739,0.252422312691689,72
44,-0.0520785293755689,0.0568241264539209,-0.101515334226433,-0.0998591858306821,0.108958741179244,-0.194652935609522,25
45,-0.337540123948138,-0.0402372378793131,0.121496620513003,-0.647224151042579,-0.0771538264018001,0.232966517124799,25
46,-0.0957237346008056,-0.0594021666117565,-0.131042819839143,-0.183547698380151,-0.113902064162574,-0.251271098761719,38
47,-0.337711332263734,-0.033514897238741,0.120769918115023,-0.647552438404144,-0.064263918194082,0.231573084731958,54
48,-0.0165236932273108,-0.013116145844111,-0.0622099611961537,-0.0316837393908685,-0.0251498585104796,-0.119285935107847,46
49,0.0380127796200448,-0.0721965239942885,-0.0370550817405942,0.0728884872428746,-0.1384349019129,-0.0710521271985263,44
50,-0.14380261323168,0.0502945648535643,0.0226049641613622,-0.275737660986575,0.0964384816200564,0.0433444135990586,28
51,0.236205617138254,0.0468836957929647,-0.0461206072369501,0.452917947163176,0.0898982315121814,-0.0884350296354389,27
52,-0.33376494941733,-0.0477432389214501,0.144303622992847,-0.63998535494877,-0.0915463824493539,0.276698333790575,100
53,-0.330531161558091,-0.0199064304521135,0.139658897005006,-0.633784653303683,-0.0381700474567488,0.267792196057546,70
54,-0.333440022523105,0.011992495759773,0.15111152958485,-0.639362316328039,0.022995289556134,0.289752312419389,99
55,-0.337904458186397,-0.00988020097329623,0.112939218318521,-0.647922752190481,-0.0189450208534445,0.216557927515748,99
57,-0.111113773069826,-0.0577137244695671,-0.063644548428022,-0.213057685122215,-0.110664521557918,-0.12203671771817,21
58,-0.0195715273056049,-0.0534453925833034,-0.0714084177623889,-0.0375278796393495,-0.102480109437836,-0.136923729312421,113
59,-0.338262295200646,-0.0363518893157571,0.119043525473973,-0.648608895085286,-0.0697037745497766,0.228262773061747,99
60,-0.33787865281417,0.0299297143925492,0.130605480104386,-0.647873271080096,0.0573894260690645,0.250432511528785,103
61,-0.122926171629846,-0.0197660714630968,-0.0954107003782486,-0.235707643119388,-0.0379009128530017,-0.182947463638954,115
62,-0.0153039640613247,-0.00640276644401271,-0.0585632044468266,-0.0293449413696929,-0.0122771332414595,-0.112293376672025,88
63,-0.125591654677682,-0.0105890555240877,-0.0968344744025977,-0.240818635503272,-0.0203042304771252,-0.185677512213349,113
64,-0.0142487666248689,0.0220778181609226,-0.0536250978088602,-0.0273216285350466,0.0423336252559742,-0.102824689396771,93
65,-0.0139461952700771,0.0371601550520013,-0.0519426420727154,-0.026741456062677,0.0712536024601256,-0.099598625565437,102
66,0.233175710501224,0.0544742560615933,-0.048843013298594,0.447108182303366,0.104452927612712,-0.0936551703743555,117
68,-0.0168433903767172,-0.0372575912973157,-0.0650425361771988,-0.0322967501159197,-0.0714404338519517,-0.124717321800272,94
70,0.230641172415924,-0.00241519507670558,-0.0571448218567062,0.442248273379485,-0.00463107189995332,-0.109573666028424,104
71,0.229116666335419,-0.0306972329593924,-0.0618314933169274,0.439325073784211,-0.0588611223729706,-0.118560233081777,102
73,0.235388886839767,0.029652423876117,-0.0487437079941501,0.451351888681341,0.0568577289274306,-0.093464755111687,105
74,-0.153739105471455,-0.0655794164016991,-0.0275320360479345,-0.294790618836463,-0.125746775257388,-0.0527919420339372,70
75,0.232220831641809,0.0150302442874888,-0.0528921777257194,0.445277227654465,0.0288200910313915,-0.101419334759093,84
76,-0.122380976843966,-0.0300172189168261,-0.0895578156286832,-0.234662246713423,-0.0575572136516934,-0.171724713825158,92
79,0.234929215199881,-0.0436057342637051,-0.0553550035494799,0.450470480618193,-0.0836128280374488,-0.106141737341353,84
80,-0.336754630391651,-0.0546416019538541,0.124151787477253,-0.645717988177258,-0.104773808880936,0.238057728694589,83
81,-0.0860779421525226,-0.058553584410213,-0.0828705406761218,-0.165052149597832,-0.112274930509366,-0.158902043135421,37
82,0.224851245678093,0.0292823619033026,-0.0444267232202282,0.431146243867677,0.0561481450018622,-0.0851870523820564,84
83,0.234763144345239,0.039988850354267,-0.0481135951633439,0.450152044200468,0.0766775499723579,-0.0922565306280038,95
84,0.224346530241674,0.0159209282483921,-0.0468148342177741,0.430178465530592,0.0305279536810227,-0.0897661912853163,87
85,0.225829272106774,0.0446228779670228,-0.0416685840016429,0.43302158336094,0.0855631738575779,-0.0798983942713532,86
87,-0.0173518089994469,-0.0237440349690353,-0.0642172223800935,-0.0332716292136147,-0.0455285513775553,-0.123134804689633,70
88,0.220341484105992,-0.0227906921880559,-0.0556352427073515,0.422498896788561,-0.0437005421179309,-0.106679088424006,85
89,0.221684860098243,-0.00880157624181856,-0.0524910910953216,0.425074784288825,-0.0168767868077895,-0.100650261883201,86
90,0.222872298616212,0.00362767901234615,-0.0496964923388202,0.427351665856914,0.00695597738591063,-0.0952916935846387,86
91,-0.0164378194453543,0.0127550611820285,-0.0583025155881802,-0.0315190787129807,0.024457488337899,-0.111793512764736,80
92,0.225095229357989,0.0557036166822799,-0.0417007731023708,0.431614076041945,0.106810193690423,-0.0799601160102318,75
93,-0.0131809565328278,0.0689033574028017,-0.0464441519873478,-0.0252741312709814,0.132120343138417,-0.0890554180323828,74
